student_code	school_code	benchmark_test_code	test_score
970063394	NULL	G7DBA_ELA_2013-04-01	58.33
533987558	NULL	G5Math_2013-04-01	68.42
331869172	NULL	G5Math_2013-04-01	47.37
103423661	NULL	G8DBA_ELA_2013-04-01	69.70
375213758	NULL	G9DBA_ELA_2013-04-01	52.94
102774361	NULL	G10DBA_ELA_2013-04-01	73.53
102723335	NULL	G10DBA_ELA_2013-04-01	23.53
970032177	NULL	Alg1_2013-04-01	11.76
103439246	NULL	G8PDBA_ELA_2013-04-01	60.89
970030420	NULL	G4DBA_ELA_2013-04-01	80.65
102788098	NULL	Alg1_2013-04-01	32.35
103560959	NULL	G8DBA_ELA_2013-04-01	33.33
102693058	NULL	G8MathP_2013-04-01	32.76
103475034	NULL	G10DBA_ELA_2013-04-01	38.24
104042577	NULL	G8DBA_ELA_2013-04-01	39.39
822912481	NULL	Geom_2013-04-01	22.86
195155486	NULL	G5Math_2013-04-01	78.95
103481164	NULL	G8MathP_2013-04-01	37.79
104657366	NULL	G8Math_2013-04-01	25.81
103410395	NULL	G8DBA_ELA_2013-04-01	54.55
100103613	NULL	Geom_2013-04-01	25.71
100504950	NULL	G8Math_2013-04-01	67.74
970087836	NULL	G10DBA_ELA_2013-04-01	50.00
103473039	NULL	G8Math_2013-04-01	32.26
102915295	NULL	G10DBA_ELA_2013-04-01	35.29
970086473	NULL	G9DBA_ELA_2013-04-01	55.88
104572169	NULL	G6DBA_ELA_2013-04-01	51.35
970026997	NULL	G4Math_2013-04-01	90.91
103535944	NULL	G6DBA_ELA_2013-04-01	48.65
103388070	NULL	G7Math_2013-04-01	33.33
103372181	NULL	G7DBA_ELA_2013-04-01	36.11
103431813	NULL	G6DBA_ELA_2013-04-01	40.54
102831021	NULL	G6Math_2013-04-01	57.58
894248434	NULL	G6Math_2013-04-01	63.64
102975356	NULL	G7Math_2013-04-01	50.00
641586235	NULL	G5Math_2013-04-01	52.63
100118272	NULL	G9DBA_ELA_2013-04-01	70.59
695412684	NULL	G5Math_2013-04-01	73.68
104619226	NULL	G6DBA_ELA_2013-04-01	89.19
104095344	NULL	G7DBA_ELA_2013-04-01	69.44
970047245	NULL	G4MathP_2013-04-01	41.97
212789853	NULL	G5DBA_ELA_2013-04-01	17.65
104113188	NULL	G7Math_2013-04-01	38.89
103879490	NULL	G6Math_2013-04-01	60.61
102953346	NULL	Geom_2013-04-01	51.43
970024283	NULL	G10DBA_ELA_2013-04-01	35.29
970027708	NULL	G4DBA_ELA_2013-04-01	29.03
104657556	NULL	G6Math_2013-04-01	42.42
970020923	NULL	G4DBA_ELA_2013-04-01	22.58
104039235	NULL	G7DBA_ELA_2013-04-01	83.33
866139553	NULL	G8DBA_ELA_2013-04-01	84.85
970076503	NULL	G9DBA_ELA_2013-04-01	52.94
103220950	NULL	G8Math_2013-04-01	64.52
347871113	NULL	G5DBA_ELA_2013-04-01	67.65
100504513	NULL	G8DBA_ELA_2013-04-01	45.45
970067299	NULL	Geom_2013-04-01	22.86
103753877	NULL	G6Math_2013-04-01	45.45
970081306	NULL	G4DBA_ELA_2013-04-01	54.84
